,CustomerID,Price,Product_Bag,Product_Baseball_Kit,Product_Basket_Ball,Product_Bed,Product_Bench,Product_Cabinet,Product_Camping_Net,Product_Chair,Product_Computer,Product_Cooler,Product_Couch,Product_Cricket_Bat,Product_Cricket_Kit,Product_Cupboard,Product_Desk,Product_Football,Product_Fridge,Product_Half_Pant,Product_Heater,Product_Hockey_Kit,Product_Hoodie,Product_Javeline,Product_Joggers,Product_Laptop,Product_Medical_Kit,Product_Pant,Product_Rope,Product_Season_Ball,Product_Shelve,Product_Shirt,Product_Shoes,Product_Sleeping_Bag,Product_Slippers,Product_Smartphone,Product_Soffa,Product_Speaker,Product_Stand,Product_Stick,Product_Stove,Product_Suit,Product_TShirt,Product_TT_Kit,Product_TV,Product_Table,Product_Tablet,Product_Tennis_Ball,Product_Tools_Kit,Color_c,Color_g,Color_p,Color_r,Color_w,Color_y,Size_M,Size_S,Size_XL,Size_XXL,Cluster
19,20,8849.76,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,2,0,1,0,0,0,1,2,1,0,2,0,0,0,1,0,0,2,1,0,0,0,1,5,6,4,0,5,5,5,4,7,4,1
20,21,6595.585,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,1,1,0,2,0,1,0,1,0,2,0,0,0,2,1,1,0,0,0,2,2,2,0,3,6,4,1,7,6,5,9,3,8,4
21,22,7181.5650000000005,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,3,4,2,5,1,6,5,5,2,1
22,23,9147.17,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,6,3,3,2,1,3,6,2,9,1,1
23,24,4475.925,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,2,1,5,5,0,2,3,2,6,1,9,1,4
24,25,8860.355,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,1,0,1,4,2,4,3,7,5,6,1,1
25,26,3101.64,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,2,2,6,1,1,1,4,2,1,3,0
26,27,11547.95,2,0,0,1,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,6,3,4,4,4,2,5,3,7,7,3
27,28,8320.22,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,4,1,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,3,3,3,5,5,4,4,6,1
28,29,4103.32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,2,2,3,3,2,1,1,3,2,3,2,0
29,30,4843.925,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,1,1,4,4,3,4,1,4
30,31,8987.92,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,1,5,2,4,3,1
31,32,1911.045,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,2,1,1,5,3,1,0
32,33,10538.895,2,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,2,0,0,7,4,3,3,3,0,2,5,8,5,3
33,34,13148.74,2,0,0,1,1,0,1,1,1,0,1,2,1,0,1,1,0,1,0,1,2,0,1,1,2,0,2,0,0,0,0,0,1,1,2,0,0,1,4,1,1,0,0,1,0,1,2,6,7,5,7,4,7,4,8,11,7,2
34,35,5681.39,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,2,2,4,5,3,4,4,4
35,36,1497.36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,1,3,1,1,3,1,5,1,1,3,0
36,37,2971.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,3,3,4,2,2,1,0
37,38,4877.69,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,3,2,2,1,2,1,3,4,5,4
38,39,8504.55,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,4,1,2,1,0,0,1,0,1,0,0,0,0,0,2,1,0,4,4,3,2,7,1,6,8,2,1,1
39,40,9650.11,0,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,2,1,1,0,0,2,1,2,1,5,3,3,6,6,1,3,2,3
40,41,6896.37,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,1,0,1,0,0,0,1,1,0,3,0,2,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,2,3,2,4,6,4,4,4,8,3,5,1
41,42,5971.12,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,1,0,1,0,0,1,5,2,2,3,2,2,3,4,5,4
42,43,8125.65,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,4,2,5,3,3,3,3,8,4,2,1
43,44,18605.82,1,0,2,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,2,4,4,0,2,1,0,0,0,2,1,1,0,0,0,2,6,4,8,7,5,3,4,11,8,6,2
44,45,5144.145,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,2,4,1,2,2,1,1,2,3,5,4
45,46,6701.84,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,2,0,2,1,1,1,0,0,3,0,1,0,1,3,1,0,0,0,1,0,5,6,3,5,4,5,6,5,7,4,4
46,47,5969.395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,0,4,1,4
47,48,6949.15,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,2,1,3,0,1,1,0,0,0,0,3,7,5,1,3,4,3,6,4,10,1
48,49,4538.035,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,5,0,0,4,2,4,5,2,4
49,50,5469.59,2,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,1,0,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,2,4,3,5,4,6,9,4,4,8,4
50,51,7697.395,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,5,1,4,2,2,4,4,1,4,1
51,52,7744.400000000001,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,4,1,0,3,0,2,0,3,0,3,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,1,5,6,2,6,5,4,6,5,7,5,1
52,53,12551.17,2,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,6,1,0,0,0,0,0,1,1,1,0,1,0,1,0,2,1,1,2,2,0,0,3,9,10,6,3,6,4,8,9,9,6,3
53,54,13432.155,0,0,0,0,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,1,1,2,1,1,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,5,5,7,5,4,3,7,5,6,6,2
54,55,8911.38,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,9,1,5,3,1,4,4,3,3,4,1
55,56,4233.605,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,3,3,0,2,2,2,3,3,0
56,57,8860.255,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,3,2,4,3,2,5,5,2,4,4,1
57,58,1799.755,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,1,3,1,1,1,2,0,3,1,0
58,59,8260.075,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,2,5,2,2,4,1,4,4,3,2,1
59,60,3742.055,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,2,1,1,2,4,1,4,0
60,61,13411.32,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,2,0,1,0,0,0,1,0,1,1,2,0,0,0,3,0,0,1,2,0,0,0,2,0,0,4,6,2,2,5,2,4,8,6,9,2
61,62,7551.46,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,2,0,0,1,0,8,2,2,3,3,3,1,5,6,8,1
62,63,4511.25,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,6,2,1,2,0,1,3,3,3,3,4
63,64,9752.885,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,1,1,0,2,0,0,0,1,0,0,1,1,0,0,3,0,0,0,1,3,4,0,1,1,0,0,0,1,2,5,4,7,2,6,4,8,8,5,3
64,65,6862.035,1,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,4,3,2,2,1,5,4,3,3,2,1
65,66,6977.19,0,1,1,0,0,0,1,0,0,2,0,1,0,2,0,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,4,3,4,1,1,4,3,5,6,2,1
66,67,14447.48,2,0,0,1,0,2,0,0,0,0,0,2,2,1,0,2,0,3,1,0,2,1,0,0,1,2,0,0,0,1,0,0,1,1,2,1,1,1,4,0,3,0,0,0,1,0,0,3,5,11,5,9,4,7,9,9,9,2
67,68,11635.83,1,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,3,0,0,0,0,1,0,0,0,1,2,1,2,2,1,3,0,2,0,2,0,9,9,3,4,0,2,12,9,6,3,3
68,69,5743.26,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,5,3,2,0,3,3,4,5,4,2,4
69,70,4041.09,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,1,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,3,1,4,4,0,6,4,4,4,3,0
70,71,3415.77,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,1,4,0,1,4,1,3,2,0
71,72,5556.265,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,2,1,1,1,2,3,3,1,3,4
72,73,4603.725,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,4,2,3,2,3,5,3,4,3,4
73,74,9721.06,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,1,1,2,0,0,2,3,2,3,4,1,7,5,1,4,3
74,75,7979.345,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,0,1,1,0,0,0,0,1,0,1,1,2,1,1,1,0,1,0,0,2,0,0,1,0,1,0,0,1,2,2,4,5,4,6,5,2,3,8,1
75,76,5081.545,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,2,1,1,2,3,1,4
76,77,5757.04,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,1,1,1,0,1,0,1,4,2,1,2,5,3,4
77,78,4727.07,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,4,3,3,3,4
78,79,9829.52,1,1,1,1,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,2,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,3,2,1,5,3,4,10,3,3,3,3
79,80,18486.985,1,0,0,1,1,1,1,0,1,0,0,1,1,3,0,0,0,2,1,1,1,1,1,0,0,1,0,2,1,0,1,0,0,1,2,1,0,1,2,0,3,0,1,0,1,0,0,5,6,2,5,4,6,3,6,9,10,2
80,81,12147.775,2,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,2,2,1,1,1,0,0,0,1,2,1,0,1,2,1,6,3,3,7,4,3,5,8,9,7,3
81,82,11562.835000000001,1,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,0,2,0,1,2,2,0,1,1,0,2,1,1,0,0,0,1,0,4,1,1,0,1,2,0,1,1,2,4,6,6,8,7,4,6,9,11,10,3
82,83,8587.225,1,0,0,2,1,1,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,3,3,2,5,4,4,4,1
83,84,7705.52,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,1,0,2,0,4,0,0,0,1,1,2,2,0,0,0,0,0,1,4,4,8,3,6,2,9,7,7,7,1
84,85,7138.015,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,2,2,0,5,4,1,3,5,2,4,1
85,86,9503.83,2,1,1,0,0,0,1,1,1,2,0,1,0,0,0,2,1,1,0,1,1,0,2,0,4,2,0,0,0,2,3,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,8,6,11,3,3,1,6,10,3,8,3
86,87,5914.910000000001,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,5,2,4,3,4,3,4,3,2,3,4
87,88,6562.18,3,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,2,0,0,1,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,3,1,2,2,0,0,0,0,1,5,7,0,4,5,4,6,7,8,2,4
88,89,7007.96,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,4,0,0,0,0,0,2,0,1,0,0,0,0,5,1,0,0,0,0,0,1,1,2,8,3,2,3,6,4,6,4,5,1
89,90,11939.54,0,1,1,0,1,0,0,0,1,2,1,0,1,0,0,1,1,0,0,1,1,0,1,0,2,1,1,1,0,1,0,1,3,1,1,0,0,1,1,0,0,0,1,1,0,0,1,4,4,7,2,5,5,6,8,7,5,3
90,91,7345.5,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,1,0,1,0,0,1,1,6,3,4,1,0,3,5,3,2,1
91,92,12411.25,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,3,0,1,2,1,0,1,1,0,0,1,2,1,0,0,1,2,1,1,2,0,0,0,1,4,4,7,3,7,3,6,8,11,5,3,3
92,93,4602.255,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,3,2,6,0,4,0,3,2,4
93,94,9363.9,3,1,1,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,4,8,0,1,3,7,7,5,5,7,1
94,95,3302.695,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,4,2,0,2,2,3,3,4,3,0
95,96,9227.15,0,0,1,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2,1,7,9,5,3,4,1
96,97,4851.26,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,4,1,2,1,3,3,3,4,3,2,4
97,98,6330.505,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0,1,0,4,5,2,1,7,2,4,2,5,6,4
98,99,9038.86,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,2,0,0,2,1,3,1,0,0,2,2,0,0,1,2,0,1,1,0,0,1,0,0,1,0,2,0,0,0,1,4,4,2,5,6,5,3,9,9,3,1
99,100,5902.62,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2,3,0,4,6,0,3,5,4,2,3,4
100,101,3934.655,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,3,2,2,0,3,0
101,102,6918.305,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,0,1,1,0,3,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,6,4,5,2,6,6,4,3,1
102,103,7926.655,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,0,1,1,2,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,2,1,5,4,2,5,2,3,6,6,1
103,104,8733.91,2,1,2,0,1,3,2,0,1,0,0,1,3,0,0,1,0,1,0,0,0,2,1,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,6,2,3,5,6,4,5,8,11,4,1
